<01/16/13> <11:35:08> start logging
<01/16/13> <11:35:08> WindowManager aangemaakt
<01/16/13> <11:35:08> Window aangemaakt
<01/16/13> <11:35:08> Showing window 
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:09> Model al ingeladen
<01/16/13> <11:35:09> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:10> Model al ingeladen
<01/16/13> <11:35:10> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
<01/16/13> <11:35:11> Model al ingeladen
<01/16/13> <11:35:11> Texture al ingeladen
